  191  (> 7)     95  Grant Cook            Aquinas                                 29:06.5  3:38/K    SO
  192    DNS    646  Tristan Rudolph       UNA-Aquinas                             29:08.9  3:39/K
  193  (> 7)    559  Michael Murray        Ohio Northern                           29:09.7  3:39/K    FR
  194  (> 7)    156  Joshua Marshall       Bethel (Ind.)                           29:10.4  3:39/K    SR
  195  (> 7)    572  Jonathan Wherry       Ohio Northern                           29:13.5  3:39/K    JR
  196    108    365  Brett Slayton         Grand Rapids Community                  29:14.5  3:39/K    21
  197  (> 7)    560  Evan Murtha           Ohio Northern                           29:15.9  3:39/K    SO
  198  (> 7)     32  Nick Sheridan         Adrian                                  29:16.2  3:40/K    SO
  199    109    289  Diego Sanchez         Defiance                                29:17.3  3:40/K    FR
  200    110    128  Evan Milovich         Baldwin Wallace                         29:17.6  3:40/K    FR
  201  (> 7)    336  Nathaniel Reed        DePauw                                  29:17.8  3:40/K    FR
  202  (> 7)     92  Jimmy Birney          Aquinas                                 29:18.5  3:40/K    FR
  203  (> 7)    561  Joseph Muscarella     Ohio Northern                           29:18.9  3:40/K    SO
  204    111    441  Cory Gyulveszi        Kalamazoo                               29:19.9  3:40/K    22
  205    112    287  Zach Roush            Defiance                                29:20.4  3:40/K    SO
  206    113    446  Connor Vogt           Kalamazoo                               29:22.3  3:40/K    21
  207  (> 7)     14  David Comiska         Adrian                                  29:26.0  3:41/K    JR
  208  (> 7)     27  Max McIlroy           Adrian                                  29:28.1  3:41/K    JR
  209    114     53  Nick Fox              Alma                                    29:28.9  3:41/K    22
  210    115    505  Nathaniel Theobald    Madonna                                 29:29.1  3:41/K    24
  211  (> 7)    333  Brian Mincks          DePauw                                  29:33.8  3:42/K    JR
  212  (> 7)    161  Ethan Trombley        Bethel (Ind.)                           29:35.2  3:42/K    SO
  213    116    290  Andrew Senecal        Defiance                                29:38.1  3:42/K    SR
  214    117    517  Nick Williamson       Michigan-Dearborn                       29:40.4  3:43/K
  215    118    258  Garrett Tremaine      Cornerstone                             29:42.2  3:43/K    FR
  216    DNS    645  Michael Robbins       UNA-Aquinas                             29:43.3  3:43/K
  217    119     61  Ryan Weaver           Alma                                    29:44.1  3:43/K    23
  218    120    515  Sam Parks             Michigan-Dearborn                       29:46.7  3:43/K    JR
  219    121     56  Kristopher Maurer     Alma                                    29:51.0  3:44/K    24
  220  (> 7)    418  Aaron Kimbrell        Indiana Tech                            29:56.0  3:45/K    SR
  221    DNS    647  Kyle Sousley          UNA-Aquinas                             29:57.3  3:45/K
  222    122    514  Quinn Osgood          Michigan-Dearborn                       30:02.6  3:45/K    SR
  223  (> 7)    321  Ben Booher            DePauw                                  30:07.0  3:46/K    FR
  224  (> 7)     18  Aaron Ellis           Adrian                                  30:08.8  3:46/K    FR
  225    123    364  Rechy Rodriguez       Grand Rapids Community                  30:10.1  3:46/K    21
  226    124    286  Jacob Rindler         Defiance                                30:10.7  3:46/K    SO
  227    125    500  Seth Globke           Madonna                                 30:10.8  3:46/K    22
  228    DNS    498  Stephen Fenech        Unattached                              30:11.8  3:46/K    21
  229  (> 7)     15  Zeke Dassay           Adrian                                  30:12.9  3:47/K    FR
  230    126    124  Alex Fuhrmann         Baldwin Wallace                         30:16.4  3:47/K    JR
  231  (> 7)    378  Brad Bannister        Heidelberg                              30:20.0  3:48/K    FR
  232    127    284  Jaymes Cole           Defiance                                30:20.5  3:48/K    FR
  233    128    270  Tanner Droste         Davenport                               30:22.9  3:48/K    FR
  234  (> 7)    186  Matthew Boelens       Calvin-B                                30:24.5  3:48/K    FR
  235  (> 7)    419  Brian Larabel         Indiana Tech                            30:31.2  3:49/K    JR
  236    129     54  Lex Hollenbeck        Alma                                    30:33.6  3:49/K    22
  237    130    126  Aaron Long            Baldwin Wallace                         30:35.8  3:49/K    JR
  238    131    130  Justin Swords         Baldwin Wallace                         30:36.6  3:50/K    FR
  239  (> 7)    541  Nathan Barchalk       Ohio Northern                           30:36.9  3:50/K    SR
  240    DNS    643  Eric Cichon           UNA-Aquinas                             30:39.4  3:50/K
  241  (> 7)    131  Dylan Tanner          Baldwin Wallace                         30:40.7  3:50/K    FR
